wait,correctSequence,userInput
1,['S' 'G' 'F' 'P' 'B' 'Z' 'L' 'W' 'J' 'H'],['S' 'G' 'B' 'D' 'L' 'Z' 'L' 'W' 'S' 'H']
1,['G' 'I' 'L' 'S' 'M' 'B' 'H' 'V' 'P' 'C'],['G' 'I' 'L' 'S' 'M' 'G' 'H' 'V' 'B' 'C']
1,['K' 'V' 'F' 'P' 'N' 'Z' 'Q' 'Z' 'E' 'Z'],['K' 'F' 'C' 'V' 'N' 'Z' 'Q' 'Z' 'E' 'Z']
1,['U' 'E' 'D' 'C' 'M' 'C' 'F' 'Q' 'L' 'Q'],['U' 'E' 'D' 'C' 'M' 'C' 'G' 'Q' 'F' 'Q']
1,['E' 'R' 'S' 'U' 'R' 'J' 'U' 'I' 'I' 'F'],['E' 'R' 'S' 'U' 'R' 'J' 'U' 'I' 'I' 'F']
1,['I' 'W' 'F' 'W' 'M' 'U' 'U' 'A' 'L' 'M'],['U' 'I' 'F' 'W' 'M' 'U' 'U' 'A' 'L' 'M']
1,['N' 'I' 'K' 'W' 'V' 'A' 'O' 'J' 'D' 'S'],['N' 'I' 'K' 'W' 'V' 'A' 'O' 'J' 'D' 'S']
1,['I' 'Q' 'A' 'C' 'C' 'L' 'C' 'U' 'H' 'U'],['I' 'Q' 'A' 'C' 'C' 'I' 'C' 'U' 'H' 'U']
1,['P' 'X' 'Y' 'U' 'Y' 'G' 'E' 'X' 'D' 'Y'],['P' 'X' 'Y' 'D' 'Y' 'G' 'E' 'X' 'D' 'Y']
1,['J' 'J' 'E' 'K' 'E' 'E' 'Y' 'F' 'T' 'M'],['E' 'K' 'E' 'E' 'Y' 'E' 'Y' 'F' 'T' 'M']
1,['M' 'P' 'E' 'O' 'G' 'K' 'J' 'J' 'O' 'X'],['M' 'P' 'E' 'O' 'G' 'O' 'J' 'O' 'P' 'J']
1,['L' 'S' 'B' 'S' 'Z' 'L' 'W' 'J' 'F' 'P'],['L' 'S' 'D' 'S' 'Z' 'L' 'W' 'S' 'B' 'P']
1,['M' 'C' 'B' 'V' 'G' 'S' 'H' 'I' 'P' 'L'],['M' 'C' 'B' 'V' 'G' 'S' 'H' 'I' 'B' 'L']
1,['V' 'Z' 'N' 'E' 'Z' 'Q' 'Z' 'K' 'F' 'P'],['V' 'Z' 'N' 'E' 'Z' 'Q' 'Z' 'K' 'C' 'V']
1,['E' 'Q' 'L' 'C' 'F' 'U' 'M' 'D' 'C' 'Q'],['E' 'Q' 'F' 'C' 'G' 'U' 'M' 'D' 'C' 'Q']
1,['U' 'I' 'I' 'F' 'E' 'S' 'R' 'U' 'R' 'J'],['U' 'I' 'I' 'F' 'E' 'S' 'R' 'U' 'R' 'J']
1,['M' 'I' 'U' 'A' 'L' 'W' 'M' 'F' 'U' 'W'],['M' 'I' 'U' 'A' 'L' 'W' 'M' 'F' 'U' 'W']
1,['W' 'S' 'A' 'K' 'D' 'N' 'I' 'V' 'J' 'O'],['W' 'S' 'A' 'K' 'D' 'N' 'I' 'V' 'J' 'O']
1,['U' 'H' 'C' 'I' 'C' 'C' 'I' 'A' 'Q' 'U'],['U' 'H' 'C' 'I' 'C' 'C' 'I' 'A' 'Q' 'U']
1,['G' 'P' 'E' 'Y' 'Y' 'B' 'D' 'B' 'X' 'X'],['G' 'P' 'E' 'Y' 'Y' 'B' 'D' 'D' 'X' 'X']
