wait,correctSequence,userInput
1,['J' 'H' 'D'],['J' 'H' 'D']
1,['P' 'K' 'U'],['P' 'K' 'U']
1,['I' 'Y' 'R'],['I' 'Y' 'R']
1,['R' 'G' 'C' 'B'],['R' 'G' 'C' 'B']
1,['S' 'R' 'G' 'L'],['S' 'R' 'G' 'L']
1,['K' 'E' 'G' 'W'],['K' 'E' 'G' 'W']
1,['H' 'R' 'A' 'G' 'O'],['H' 'R' 'A' 'G' 'O']
1,['Y' 'A' 'C' 'W' 'F'],['Y' 'A' 'C' 'W' 'F']
1,['Y' 'T' 'H' 'R' 'Q'],['Y' 'T' 'H' 'R' 'Q']
1,['V' 'F' 'X' 'U' 'S' 'J'],['V' 'F' 'X' 'U' 'S' 'J']
1,['A' 'M' 'E' 'P' 'K' 'U'],['A' 'M' 'E' 'P' 'K' 'U']
1,['V' 'C' 'Z' 'Z' 'D' 'B'],['V' 'D' 'Z' 'Z' 'B' 'D']
1,['R' 'C' 'B' 'Z' 'L' 'N' 'U'],['R' 'C' 'B' 'Z' 'L' 'K' 'U']
1,['P' 'A' 'S' 'V' 'Z' 'H' 'N'],['P' 'A' 'S' 'V' 'Z' 'H' 'N']
1,['G' 'Y' 'K' 'P' 'H' 'S' 'V'],['G' 'Y' 'K' 'P' 'H' 'S' 'V']
1,['B' 'N' 'J' 'P' 'G' 'U' 'A' 'K'],['P' 'N' 'J' 'B' 'G' 'U' 'A' 'K']
1,['P' 'U' 'G' 'N' 'D' 'J' 'F' 'A'],['P' 'U' 'G' 'N' 'D' 'J' 'F' 'G']
1,['B' 'R' 'U' 'H' 'S' 'X' 'V' 'V'],['B' 'R' 'U' 'H' 'S' 'X' 'V' 'V']
1,['W' 'M' 'W' 'G' 'W' 'Y' 'D' 'P' 'L'],['W' 'M' 'W' 'G' 'W' 'Y' 'M' 'M' 'M']
1,['G' 'N' 'Z' 'G' 'D' 'M' 'B' 'W' 'B'],['G' 'N' 'Z' 'G' 'D' 'W' 'B' 'N' 'Z']
1,['Y' 'G' 'S' 'G' 'L' 'J' 'O' 'G' 'G'],['Y' 'G' 'S' 'G' 'L' 'J' 'O' 'G' 'G']
1,['D' 'E' 'U' 'I' 'F' 'K' 'Z' 'S' 'B' 'O'],['D' 'E' 'U' 'I' 'F' 'G' 'D' 'S' 'B' 'O']
1,['V' 'X' 'J' 'X' 'Y' 'L' 'W' 'V' 'J' 'A'],['V' 'X' 'J' 'X' 'Y' 'L' 'V' 'W' 'J' 'A']
1,['Z' 'S' 'U' 'A' 'R' 'U' 'Y' 'L' 'A' 'A'],['Z' 'S' 'U' 'A' 'R' 'U' 'Y' 'L' 'A' 'A']
1,['J' 'T' 'M'],['J' 'T' 'M']
1,['A' 'P' 'S'],['A' 'P' 'S']
1,['L' 'K' 'Z'],['L' 'K' 'Z']
1,['R' 'H' 'E' 'C'],['R' 'H' 'E' 'C']
1,['B' 'Q' 'O' 'F'],['B' 'Q' 'O' 'F']
1,['V' 'U' 'Y' 'W'],['V' 'U' 'Y' 'W']
1,['N' 'S' 'D' 'M' 'T'],['N' 'S' 'D' 'M' 'T']
1,['E' 'A' 'L' 'P' 'K'],['E' 'A' 'L' 'P' 'K']
1,['Y' 'C' 'B' 'O' 'X'],['Y' 'C' 'B' 'O' 'X']
1,['Z' 'H' 'F' 'U' 'V' 'G'],['Z' 'H' 'F' 'U' 'V' 'G']
1,['S' 'M' 'Q' 'P' 'L' 'N'],['S' 'M' 'Q' 'P' 'L' 'N']
1,['C' 'E' 'T' 'W' 'A' 'R'],['C' 'E' 'T' 'W' 'A' 'R']
1,['B' 'Y' 'G' 'R' 'K' 'O' 'L'],['B' 'Y' 'G' 'R' 'O' 'O' 'L']
1,['H' 'S' 'A' 'E' 'D' 'T' 'M'],['H' 'S' 'A' 'D' 'D' 'T' 'M']
1,['P' 'C' 'X' 'W' 'Q' 'J' 'F'],['P' 'C' 'X' 'W' 'Q' 'C' 'F']
1,['V' 'Z' 'M' 'B' 'T' 'E' 'I' 'C'],['V' 'Z' 'M' 'B' 'T' 'E' 'I' 'B']
1,['O' 'G' 'A' 'H' 'Q' 'U' 'P' 'L'],['O' 'G' 'H' 'H' 'Q' 'U' 'P' 'L']
1,['K' 'D' 'N' 'Y' 'X' 'S' 'V' 'J'],['K' 'D' 'N' 'Y' 'S' 'S' 'V' 'J']
1,['G' 'H' 'Z' 'T' 'M' 'E' 'O' 'L' 'C'],['G' 'H' 'Z' 'T' 'M' 'L' 'O' 'L' 'C']
1,['Y' 'Q' 'I' 'P' 'N' 'U' 'B' 'K' 'R'],['Y' 'Q' 'I' 'N' 'N' 'U' 'B' 'K' 'R']
1,['A' 'X' 'F' 'S' 'J' 'V' 'R' 'W' 'D'],['A' 'X' 'F' 'S' 'J' 'V' 'W' 'W' 'D']
1,['T' 'E' 'H' 'L' 'N' 'D' 'G' 'M' 'K' 'R'],['T' 'E' 'H' 'L' 'N' 'G' 'G' 'W' 'H' 'R']
1,['U' 'S' 'C' 'I' 'F' 'Q' 'P' 'A' 'W' 'Z'],['U' 'S' 'C' 'I' 'F' 'P' 'B' 'A' 'M' 'Z']
1,['V' 'J' 'O' 'R' 'L' 'K' 'B' 'X' 'Y' 'N'],['V' 'J' 'O' 'R' 'L' 'K' 'B' 'B' 'X' 'N']
