wait,correctSequence,userInput
0.5,"['71' '97' '39' '44' '70' '22' '19' '67' '77' '86' '11' '49' '17' '84'
 '90' '34' '82' '92' '99' '12']","['12' '99' '18' '77' '31' '48' '12' '92' '87' '81' '72' '14' '13' '25'
 '24' '23' '67' '89' '90' '45']"
0.5,"['11' '37' '23' '54' '95' '68' '77' '59' '41' '20' '28' '70' '79' '63'
 '33' '65' '60' '64' '18' '12']","['18' '12' '55' '22' '33' '31' '53' '18' '77' '99' '63' '54' '88' '79'
 '69' '67' '13' '37' '57' '97']"
0.5,"['50' '30' '55' '96' '40' '52' '23' '90' '32' '53' '47' '17' '86' '57'
 '63' '92' '37' '72' '70' '67']","['50' '17' '92' '30' '55' '72' '87' '63' '52' '68' '91' '13' '77' '76'
 '69' '45' '40' '70' '60' '65']"
0.5,"['21' '47' '56' '69' '29' '11' '12' '98' '27' '33' '57' '84' '76' '60'
 '88' '39' '59' '54' '83' '18']","['29' '69' '12' '11' '83' '40' '78' '90' '45' '46' '33' '78' '51' '24'
 '25' '89' '99' '94' '57' '66']"
1.0,"['16' '92' '41' '72' '98' '35' '71' '96' '75' '38' '13' '42' '44' '48'
 '56' '84' '97' '34' '80' '39']","['97' '80' '42' '44' '48' '16' '12' '96' '80' '38' '35' '51' '43' '11'
 '26' '21' '29' '98' '45' '56']"
1.0,"['12' '29' '70' '19' '20' '34' '13' '11' '83' '52' '18' '32' '69' '65'
 '73' '24' '67' '62' '82' '48']","['11' '12' '13' '18' '69' '63' '62' '80' '72' '29' '83' '20' '78' '34'
 '35' '48' '41' '42' '43' '46']"
1.0,"['38' '44' '87' '55' '86' '91' '31' '33' '61' '78' '29' '22' '82' '14'
 '30' '85' '65' '49' '12' '71']","['71' '12' '48' '78' '68' '31' '71' '21' '41' '51' '61' '91' '81' '11'
 '21' '67' '69' '88' '87' '13']"
1.0,"['91' '12' '33' '44' '39' '54' '19' '64' '78' '25' '73' '66' '80' '32'
 '43' '55' '77' '68' '71' '24']","['24' '77' '55' '96' '33' '12' '11' '21' '35' '53' '46' '45' '90' '80'
 '50' '40' '30' '20' '38' '34']"
1.5,"['31' '39' '79' '17' '70' '92' '50' '47' '84' '30' '11' '98' '96' '43'
 '56' '83' '95' '13' '90' '40']","['13' '90' '40' '83' '21' '29' '71' '31' '33' '34' '39' '49' '41' '51'
 '55' '69' '80' '50' '40' '30']"
1.5,"['23' '25' '55' '54' '89' '64' '19' '40' '67' '99' '44' '66' '73' '50'
 '61' '98' '80' '27' '79' '20']","['79' '20' '99' '98' '90' '80' '50' '55' '54' '23' '25' '40' '30' '88'
 '66' '44' '55' '67' '12' '24']"
1.5,"['50' '82' '99' '59' '52' '21' '85' '14' '24' '30' '20' '34' '23' '86'
 '31' '97' '79' '87' '68' '60']","['87' '68' '60' '20' '99' '30' '54' '51' '21' '12' '13' '14' '55' '35'
 '39' '79' '71' '34' '36' '44']"
1.5,"['89' '45' '84' '19' '46' '56' '38' '95' '44' '36' '43' '88' '82' '32'
 '23' '75' '68' '40' '17' '61']","['61' '87' '82' '45' '98' '99' '78' '12' '34' '56' '57' '40' '80' '90'
 '60' '49' '23' '24' '19' '63']"
2.5,"['88' '87' '25' '15' '83' '21' '43' '41' '47' '37' '10' '79' '18' '20'
 '81' '56' '80' '26' '68' '53']","['53' '25' '15' '20' '80' '88' '87' '83' '56' '34' '36' '5' '76' '89' '13'
 '18' '19' '21' '78' '95']"
2.5,"['65' '47' '62' '88' '19' '54' '15' '83' '10' '80' '94' '40' '84' '26'
 '36' '20' '96' '53' '79' '50']","['79' '50' '60' '10' '20' '30' '40' '50' '80' '67' '65' '63' '21' '15'
 '25' '96' '97' '98' '54' '56']"
2.5,"['99' '93' '76' '87' '40' '91' '30' '12' '26' '18' '14' '68' '96' '79'
 '16' '53' '60' '31' '41' '17']","['31' '41' '17' '12' '14' '15' '16' '18' '20' '26' '99' '91' '96' '94'
 '80' '40' '60' '50' '30' '70']"
2.5,"['55' '84' '63' '44' '91' '69' '41' '26' '76' '73' '18' '43' '95' '62'
 '93' '20' '96' '77' '24' '59']","['24' '59' '92' '20' '55' '18' '16' '20' '40' '77' '44' '55' '22' '97'
 '91' '58' '34' '35' '38' '78']"
4.0,"['59' '99' '70' '92' '42' '64' '68' '52' '23' '36' '85' '73' '45' '82'
 '38' '51' '63' '25' '11' '97']","['11' '97' '92' '99' '42' '55' '11' '54' '36' '67' '68' '45' '34' '28'
 '26' '98' '95' '11' '65' '67']"
4.0,"['22' '93' '46' '68' '58' '64' '28' '74' '38' '47' '61' '55' '25' '73'
 '75' '56' '63' '33' '86' '40']","['86' '40' '22' '24' '25' '26' '28' '33' '38' '30' '56' '54' '87' '78'
 '50' '40' '60' '77' '91' '92']"
4.0,"['18' '63' '69' '95' '73' '78' '93' '29' '94' '22' '46' '17' '66' '24'
 '54' '34' '39' '82' '91' '79']","['81' '79' '17' '18' '22' '24' '29' '54' '44' '38' '34' '78' '71' '72'
 '91' '97' '92' '93' '94' '95']"
4,"['24' '87' '51' '48' '97' '53' '15' '36' '52' '56' '85' '68' '34' '64'
 '70' '58' '19' '98' '12' '54']","['98' '12' '54' '15' '24' '38' '34' '32' '45' '46' '47' '91' '88' '87'
 '83' '86' '96' '91' '69' '68']"
