wait,correctSequence,userInput
1,['R' 'Z' 'C'],['R' 'Z' 'C']
1,['R' 'E' 'G'],['R' 'E' 'G']
1,['M' 'H' 'S'],['M' 'H' 'S']
1,['S' 'P' 'L' 'H'],['S' 'P' 'L' 'H']
1,['Z' 'J' 'F' 'V'],['Z' 'J' 'F' 'V']
1,['V' 'K' 'X' 'J'],['V' 'K' 'X' 'J']
1,['J' 'A' 'N' 'F' 'B'],['J' 'A' 'N' 'F' 'B']
1,['Y' 'R' 'E' 'U' 'I'],['Y' 'R' 'E' 'U' 'I']
1,['N' 'F' 'E' 'E' 'G'],['N' 'F' 'E' 'E' 'G']
1,['H' 'I' 'M' 'J' 'U' 'K'],['H' 'I' 'M' 'J' 'U' 'K']
1,['D' 'Z' 'U' 'X' 'W' 'X'],['D' 'Z' 'U' 'W' 'X' 'U']
1,['O' 'H' 'X' 'K' 'E' 'R'],['O' 'H' 'X' 'K' 'E' 'R']
1,['J' 'E' 'V' 'B' 'Z' 'I' 'R'],['J' 'E' 'V' 'B' 'B' 'I' 'R']
1,['L' 'S' 'I' 'G' 'B' 'J' 'H'],['L' 'S' 'I' 'G' 'B' 'J' 'H']
1,['L' 'H' 'J' 'B' 'U' 'O' 'S'],['L' 'J' 'H' 'B' 'I' 'J' 'S']
1,['S' 'P' 'T' 'H' 'X' 'W' 'V' 'I'],['S' 'P' 'T' 'H' 'U' 'I' 'Z' 'O']
1,['C' 'R' 'V' 'L' 'L' 'H' 'V' 'J'],['C' 'R' 'V' 'L' 'L' 'H' 'J' 'R']
1,['O' 'Q' 'N' 'J' 'V' 'C' 'O' 'K'],['O' 'Q' 'N' 'J' 'V' 'H' 'R' 'J']
1,['I' 'G' 'W' 'I' 'X' 'T' 'Q' 'L' 'J'],['I' 'G' 'W' 'I' 'X' 'T' 'Q' 'L' 'S']
1,['W' 'J' 'F' 'C' 'Y' 'M' 'T' 'E' 'F'],['W' 'J' 'F' 'C' 'Y' 'M' 'T' 'E' 'F']
1,['H' 'O' 'F' 'O' 'D' 'F' 'A' 'G' 'Z'],['H' 'O' 'F' 'O' 'D' 'F' 'A' 'G' 'Z']
1,['U' 'T' 'U' 'Q' 'L' 'G' 'F' 'E' 'Z' 'X'],['U' 'T' 'U' 'M' 'F' 'G' 'Z' 'X' 'J' 'K']
1,['R' 'X' 'T' 'Y' 'U' 'I' 'R' 'G' 'T' 'U'],['R' 'G' 'H' 'Q' 'S' 'H' 'J' 'T' 'U' 'T']
