wait,correctSequence,userInput
1,['D' 'I' 'R' 'F' 'T' 'C' 'X' 'K' 'B' 'T'],['D' 'I' 'R' 'F' 'T' 'C' 'X' 'K' 'B' 'T']
1,['S' 'G' 'V' 'L' 'K' 'C' 'V' 'R' 'I' 'Z'],['S' 'V' 'G' 'L' 'K' 'C' 'V' 'R' 'I' 'Z']
1,['Y' 'U' 'R' 'Z' 'B' 'G' 'G' 'I' 'D' 'M'],['Y' 'U' 'R' 'Z' 'B' 'G' 'G' 'I' 'D' 'M']
1,['P' 'Q' 'T' 'C' 'C' 'W' 'I' 'P' 'K' 'V'],['C' 'Q' 'V' 'C' 'C' 'W' 'I' 'Q' 'P' 'W']
1,['I' 'Y' 'H' 'Y' 'K' 'J' 'G' 'Y' 'D' 'U'],['I' 'K' 'J' 'Y' 'H' 'J' 'G' 'Q' 'O' 'Z']
1,['X' 'P' 'E' 'E' 'S' 'U' 'K' 'J' 'L' 'R'],['X' 'P' 'E' 'E' 'S' 'U' 'K' 'J' 'E' 'R']
1,['C' 'T' 'U' 'T' 'M' 'C' 'U' 'Z' 'R' 'D'],['C' 'T' 'U' 'T' 'M' 'C' 'U' 'Z' 'R' 'D']
1,['C' 'E' 'Q' 'P' 'E' 'H' 'F' 'E' 'Q' 'R'],['C' 'E' 'Q' 'P' 'E' 'H' 'F' 'E' 'Q' 'R']
1,['U' 'Z' 'U' 'R' 'Z' 'T' 'D' 'V' 'H' 'M'],['U' 'Z' 'U' 'R' 'Z' 'T' 'D' 'V' 'H' 'M']
1,['U' 'J' 'Q' 'P' 'J' 'V' 'A' 'J' 'M' 'S'],['U' 'J' 'Q' 'P' 'J' 'V' 'A' 'J' 'M' 'S']
1,['M' 'L' 'X' 'O' 'D' 'Q' 'U' 'Y' 'Y' 'Q'],['M' 'L' 'Q' 'O' 'X' 'Q' 'U' 'Y' 'U' 'Q']
1,['C' 'F' 'O' 'T' 'Y' 'G' 'Q' 'H' 'N' 'J'],['C' 'F' 'O' 'T' 'Y' 'G' 'Q' 'H' 'N' 'Y']
1,['U' 'U' 'H' 'B' 'E' 'M' 'Q' 'L' 'D' 'Z'],['U' 'U' 'H' 'B' 'E' 'M' 'Q' 'L' 'D' 'Z']
1,['G' 'A' 'K' 'V' 'Z' 'Y' 'L' 'R' 'F' 'U'],['G' 'A' 'K' 'V' 'Z' 'Y' 'L' 'R' 'F' 'D']
1,['Q' 'I' 'U' 'P' 'T' 'G' 'O' 'C' 'G' 'Y'],['Q' 'I' 'U' 'P' 'T' 'G' 'O' 'G' 'C' 'K']
1,['G' 'M' 'P' 'Q' 'U' 'N' 'I' 'W' 'A' 'M'],['G' 'M' 'P' 'Q' 'U' 'B' 'I' 'W' 'A' 'M']
1,['E' 'K' 'S' 'R' 'S' 'T' 'A' 'V' 'X' 'Y'],['E' 'K' 'S' 'R' 'S' 'V' 'A' 'G' 'X' 'Q']
1,['I' 'M' 'B' 'X' 'F' 'D' 'N' 'E' 'N' 'B'],['I' 'M' 'B' 'X' 'F' 'D' 'N' 'E' 'N' 'B']
1,['D' 'I' 'X' 'V' 'D' 'S' 'S' 'P' 'N' 'W'],['D' 'I' 'X' 'V' 'D' 'S' 'S' 'P' 'N' 'W']
1,['B' 'G' 'F' 'K' 'N' 'U' 'F' 'Y' 'J' 'U'],['B' 'G' 'F' 'K' 'U' 'K' 'U' 'J' 'J' 'J']
